Path,Emergency,HLTPhysics+ZeroBias,2p3E34,2p2E34,2p1E34,2p0E34,2p0E34+ZeroBias+HLTPhysics,1p9E34,1p8E34,1p7E34,1p6E34,1p5E34,1p4E34,1p2E34,1p1E34,0p9E34,0p7E34,0p6E34,OnlyMuons,2p0E34_NoMuShower,2p0E34_NoEcalTiming,HIon,PRef
HLT_HIUPC_SingleJet8_NotMBHF2AND_MaxPixelCluster50000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet12_NotMBHF2AND_MaxPixelCluster50000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet16_NotMBHF2AND_MaxPixelCluster50000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet20_NotMBHF2AND_MaxPixelCluster50000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet28_NotMBHF2AND_MaxPixelCluster50000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIUPC_SingleJet24_NotMBHF2AND_MaxPixelCluster50000_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIL1SingleMu0_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
HLT_HIL1SingleMu0_Open_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
HLT_HIL1SingleMu0_Cosmic_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_HIL1SingleMu5_SingleEG20Gsf_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIL1SingleMu5_SingleGEDPhoton20_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIL1SingleMu7_SingleEG20Gsf_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIL1SingleMu7_SingleGEDPhoton10_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIL1DoubleMu0_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
HLT_HIL1DoubleMu0_MaxDr3p5_Open_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0
HLT_HIL1DoubleMu0_SQ_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0
HLT_HIL2SingleMu3_Open_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
HLT_HIL2SingleMu5_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0
HLT_HIL2SingleMu7_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
HLT_HIL2DoubleMu0_Open_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
HLT_HIL2DoubleMu0_M1p5to6_Open_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIL2DoubleMu0_M7to15_Open_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
